ID,Species,capt_date,SL_mm,SL_size_class,sex,weight_g,height_mm,sample_type,area,Long,Lat,d15N,d13C,d34S,CN_ratio,comment1,comment2
BH-01567,E.lucius,2020-02-28,460,,m,,,Muscle,NRB,,,15.6266666666667,-18.9,6.14,3.44390165855096,|,
BH-01568,E.lucius,2020-02-29,490,,m,968.4,,Muscle,NRB,,,16.1266666666667,-18.82,8.39666666666667,3.0812259209191,|,
BH-01569,E.lucius,2020-02-28,550,,m,,,Muscle,NRB,,,14.48,-16.5533333333333,10.9,3.06804859696884,|,
BH-01570,E.lucius,,980,,f,,,Muscle,NRB,,,17.9666666666667,-18.46,5.71333333333333,3.27170457659376,|,
BH-01571,E.lucius,2020-02-28,520,,f,,,Muscle,NRB,,,16.45,-18.0166666666667,8.28333333333333,3.24216596824317,|,
BH-01572,E.lucius,2020-02-28,670,,m,,,Muscle,NRB,,,17.1366666666667,-18.1566666666667,8.21666666666667,3.26885858460523,|,
BH-01573,E.lucius,2020-02-29,540,,f,,,Muscle,NRB,,,16.7566666666667,-18.1533333333333,7.22666666666667,3.21906683052866,|,
BH-01574,E.lucius,2020-02-20,460,,m,684.52,,Muscle,NRB,,,15.7966666666667,-18.0966666666667,6.48666666666667,3.25356327987907,|,
BH-01575,E.lucius,2020-02-28,520,,m,,,Muscle,NRB,,,16.93,-18.3566666666667,6.58333333333333,3.24156236153512,|,
BH-01576,E.lucius,2020-02-28,570,,f,,,Muscle,NRB,,,16.73,-18.7033333333333,6.31,3.25089306139766,|,
BH-01577,E.lucius,,670,,m,,,Muscle,NRB,,,14.9433333333333,-16.2633333333333,9.4,3.28417020574476,|,
BH-01578,E.lucius,2020-02-28,650,,m,,,Muscle,NRB,,,16.7833333333333,-18.0266666666667,7.51666666666667,3.22738924895882,|,
BH-01579,E.lucius,2020-02-28,540,,f,,,Muscle,NRB,,,16.4966666666667,-17.75,7.85333333333333,3.21402017769283,|,
BH-01580,E.lucius,2020-02-28,490,,f,,,Muscle,NRB,,,16.27,-18.0233333333333,6.02333333333333,3.15665325075675,|,
BH-01581,E.lucius,2020-02-28,470,,m,,,Muscle,NRB,,,16.5733333333333,-18.62,5.7,3.22750371584241,|,
BH-01582,E.lucius,,830,,f,,,Muscle,NRB,,,17.61,-18.1366666666667,7.9,3.18531526418499,|,
BH-01583,E.lucius,,1160,,f,,,Muscle,DZB,,,16.4566666666667,-19.03,8.14666666666667,2.99581887421249,|,
BH-01584,E.lucius,,720,,m,,,Muscle,NRB,,,14.8233333333333,-16.97,10.68,3.03658370016258,|,
BH-01585,E.lucius,,760,,m,,,Muscle,NRB,,,15.485,-16.03,10.29,3.03049898621101,"Drift Standard before didn't fall into reactor, so maybe measured together with sample | ",
BH-01585,E.lucius,,760,,m,,,Muscle,NRB,,,15.485,-16.03,10.29,3.03049898621101,|,
BH-01586,E.lucius,,760,,f,,,Muscle,NRB,,,14.9066666666667,-18.0933333333333,10.3133333333333,3.24622892572192,|,
BH-01588,E.lucius,,1050,,f,,,Muscle,KJB,,,16.685,-17.8966666666667,5.29333333333333,3.14558084278135,|,
BH-01589,E.lucius,,690,,m,,,Muscle,NRB,,,14.61,-17.34,9.18,3.3069246907119,|,
BH-01590,E.lucius,,780,,m,,,Muscle,NRB,,,15.05,-16.51,9.33,3.31437305705549,|,
BH-01590,E.lucius,,780,,m,,,Muscle,NRB,,,15.05,-16.51,9.33,3.31437305705549,Sample didnt fall into reactor |,
BH-01590,E.lucius,,780,,m,,,Muscle,NRB,,,15.05,-16.51,9.33,3.31437305705549,Sample measured together with sample before |,
BH-01592,E.lucius,,600,,m,,,Muscle,NRB,,,13.86,-16.4433333333333,8.69,3.09548849243142,|,
BH-01594,E.lucius,,630,,f,,,Muscle,NRB,,,14.54,-16.6266666666667,9.32,3.04195698129017,|,
BH-01595,E.lucius,,690,,m,,,Muscle,NRB,,,14.77,-16.8366666666667,10.0633333333333,3.13117640717941,|,
BH-01596,E.lucius,,660,,f,,,Muscle,NRB,,,16.5733333333333,-19.3333333333333,9.72,2.99498482607963,|,
BH-01597,E.lucius,,760,,f,,,Muscle,NRB,,,17.5666666666667,-19.5666666666667,10.47,3.04624340717124,|,
BH-01598,E.lucius,,750,,f,,,Muscle,NRB,,,16.5,-18.8866666666667,12.8233333333333,3.24580022617346,|,
BH-01599,E.lucius,,810,,m,,,Muscle,DZB,,,16.3133333333333,-18.31,9.19333333333333,2.99871940467291,|,
BH-01601,E.lucius,2021-09-19,750,,m,,,Muscle,WRB,13.19738,54.3815,16.2866666666667,-17.0933333333333,8.31666666666667,3.31147903351706,|,
BH-01701,E.lucius,,880,,f,,,Muscle,NRB,,,17.5966666666667,-18.9066666666667,8.87333333333333,3.0117936160398,|,
BH-01705,E.lucius,2019-12-23,580,,m,1800,,Muscle,WRB,,,14.4033333333333,-16.2,7.60666666666667,3.31635644795802,|,
BH-01709,E.lucius,2019-12-05,750,,f,4400,,Muscle,WRB,,,15.32,-16.97,8.43,3.25466114342688,|,
BH-01713,E.lucius,2020-01-08,980,,f,7200,,Muscle,WRB,,,16.8033333333333,-17.22,9.74,3.16248767988698,|,
BH-01715,E.lucius,2020-02-26,600,,m,1700,,Muscle,WRB,,,13.85,-16.6,8.435,3.29723888191894,|,
BH-01717,E.lucius,,1040,,f,,,Muscle,NRB,,,17.6766666666667,-18.3766666666667,7.61,2.9727082815979,|,
BH-01719,E.lucius,2019-12-23,550,,f,1400,,Muscle,WRB,,,14.4566666666667,-15.935,8.05,3.24574394986693,|,
BH-01722,E.lucius,,950,,f,,,Muscle,NRB,,,17.425,-18.3816666666667,11.2216666666667,3.18085797401463,|,
BH-01722,E.lucius,,950,,f,,,Muscle,NRB,,,17.425,-18.3816666666667,11.2216666666667,3.18085797401463,"",
BH-01724,E.lucius,2019-12-23,540,,f,1600,,Muscle,WRB,,,14.6166666666667,-16.2033333333333,6.98333333333333,3.21022242287545,|,
BH-01731,E.lucius,2020-01-08,950,,m,6800,,Muscle,WRB,,,15.9933333333333,-17.4366666666667,10.6166666666667,2.98925122907313,|,
BH-01734,E.lucius,2019-12-23,790,,f,5600,,Muscle,WRB,,,16.3533333333333,-18.37,9.09333333333333,2.9955375173968,|,
BH-01737,E.lucius,2020-02-27,1130,,f,11500,,Muscle,WRB,,,15.75,-18.8583333333333,10.0583333333333,3.22194963951172,|,
BH-01738,E.lucius,2019-12-23,860,,f,5400,,Muscle,WRB,,,16.4333333333333,-19.22,10.8633333333333,3.20050669272764,|,
BH-01739,E.lucius,2020-02-27,850,,f,4900,,Muscle,WRB,,,15.15,-16.6666666666667,9.94,3.02424604155252,|,
