Tuete;Jahr;Stapel;Stapel Info;Tuetchen;Datum ;Fundort; Tuetchen Info;Menge an Schuppen ;Kernbodden;Boddenkette;Unklarheiten
3;"1980; 1981; 1982; 1983";2;"1982; Kantoperä Bo. n = 42; Rankwitz n = 5; Stahlbrode Gelbes Ufer n = -21 + 18; Lauterbach n =30; Freest 5 + 11 + 10 + 4 = 30; Usedom n = 17; Peenestrom n = 6; => 169";170;06.04.82;Freest;"6.4.82; Freest; August; Peenestrom; E.l. 111 cm; Weiblich";Mittel;Peenestrom oder Greifswalder Bodden;Peenestrom oder Greifswalder Bodden;Kann sowohl zu Peenestrom als auch Greifswalder Bodden (Süd)
3;"1980; 1981; 1982; 1983";2;"1982; Kantoperä Bo. n = 42; Rankwitz n = 5; Stahlbrode Gelbes Ufer n = -21 + 18; Lauterbach n =30; Freest 5 + 11 + 10 + 4 = 30; Usedom n = 17; Peenestrom n = 6; => 169";171;06.04.82;Freest;"6.4.82; E.l. 79; Weiblich; Freest/ August; Peenestrom";Mittel;Peenestrom oder Greifswalder Bodden;Peenestrom oder Greifswalder Bodden;Kann sowohl zu Peenestrom als auch Greifswalder Bodden (Süd)
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";1;22.10.80;Ribnitz;"Stadt 1/ Ribnitz; El; 22.10.80; 1265/ 1150 g; 39/ 48; Männlich 3 29 g; F 2; D 0";Wenig;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";2;22.10.80;Ribnitz;"A. b. Nr.5; Stadt 1; Ribnitz; 1670g/ 1330g; 40/49; Weiblich 3 210g; F 3-4; D 1 verdaut";Mittel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";3;22.10.80;Ribnitz;"Stadt 1 Ribnitz; 22.10.80; Schwanzregion weiße Wachenge; 1290/ 1030g; 35,5/ 45cm; Weiblich 3; 178 g; F1; D0";Mittel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";4;22.10.80;Ribnitz;"Stadt 1, Ribnitz; 22.10.80; 425g/ 390g; 25,5/ 33g; Männlich 2-3 6g; F2; D 0";Mittel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";5;22.10.80;Ribnitz;"Stadt 1, Ribnitz; 22.10.80; 555g/ 505g; 27,5/ 36; Männlich 3 11g; F2; D0";Mittel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";6;22.10.80;Ribnitz;"Stadt 1' Ribnitz; 22.10.80; 415g/ 385g; 26/ 32,5; Weiblich 2 3g; F2; D0";Mittel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";7;22.10.80;Ribnitz;"Stadt 1' Ribnitz; 22.10.80; 870g/ 770g; 46/ 52,5 cm; Weiblich 3 55g; F1; M0";Viel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";8;22.10.80;Ribnitz;"22.10.80; 600 g/ 545 g; 40/ 46 cm; Weiblich 3 16g; F2; M1 Fischreste VG5";Mittel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";9;22.10.80;Ribnitz;"Stadt 1' Ribnitz; 22.10.80; 420 gr./ 375; 35,5/ 41,5 cm; Weiblich 3 22 gr.; F1; M0";Mittel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";10;22.10.80;Ribnitz;"Stadt 1, Ribnitz; 22.10.80; 720g/ 660g; 42,5/ 48,5; Männlich 3 28g; F1; M0";Mittel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";11;22.10.80;Ribnitz;"Stadt 1, Ribnitz; 22.10.80; 41/ 47 cm; Weiblich 2-3 4gr.; F2; M0";Mittel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";12;22.10.80;Ribnitz;"Stadt 1,  Ribnitz; 22.10.80; 460 gr./ 425 gr.; 35/ 39,5 cm; Männlich 3 9 gr.; F2; M0";Wenig;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";13;22.10.80;Ribnitz;"Stadt 1, Ribnitz; 22.10.80; 825g/ 760g; 43,5/ 49,5; Männlich 3 21 g; F1; M0";Viel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";14;22.10.80;Ribnitz;"Stadt 1, Ribnitz; 22.10.80; 445 gr./ 405 gr.; 34,5/ 39,5; Männlich 3 20 gr.; F1; M0";Viel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";15;22.10.80;Ribnitz;"E.l. Nr.9; Stadt 1, Ribnitz; 22.10.80; 570g/ 530g; 44/ 38 cm; Weiblich 2 3g; F2; M0";Wenig;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";16;22.10.80;Ribnitz;"Stadt 1, Ribnitz; 22.10.80; 390gr./ 360gr.; 34 cm/ 38,5 cm; Männlich 3 10gr.; F1; M0";Viel;Saaler Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";17;17.3.83;Lassan;"Link 12; Nachtr.; alles an Rit wende; El No 1; Lassan März 1983; Männlich 4 = 40,4g; H 21,5; F 21g; LD Badw. 0,5g; M = 0 ngf";Wenig;Peenestrom;Peenestrom;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";18;17.3.83;Lassan;"Link 12; Nachtr. Lassan; El 2; vr = 2++; Weiblich 4-5 = 695; H = 87,8; F = 21g; 2,8j BELW = d.";Wenig;Peenestrom;Peenestrom;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";19;17.3.83;Lassan;"Nachtr. Lassan; El 3 vt - 2 ++ Reinge; Weiblich = 563j; H = 67,5; F = 35,0 g; M = 3-2-5; D - 1,8 j ";Wenig;Peenestrom;Peenestrom;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";20;17.3.83;Lassan;"Nachtr. Lassen; El 4 vt 2++; Weiblich 6 = 35,0g; H= 40,5; F= 31g; Belw.= 1,2j = D";Wenig;Peenestrom;Peenestrom;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";21;17.3.83;Lassan;"Nachtr. Lassen; El 5 vt= 4+ Rügen; Männlich 4 = 58,0g; H = 48,1g; F = 36,0 g; M -0-4-5; Belw= 1,5 g";Wenig;Peenestrom;Peenestrom;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";22;17.3.83;Lassan;"Nachtr. Lass.; El 6 vt= 2++; Weiblich 5 = 335g; H= 47,3g; F= 41,5; Belw.= 0.7 g; M 0 0 1= 1 nicht determ. vt";Wenig;Peenestrom;Peenestrom;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";23;17.3.83;Lassan;"Lassen Nachtg.; El 7; vt = 4+ (2 klaren wei 2 ZWR); Männlich 4 = 62,8g; H = 43,2g; F = 96,5g; 0,6g Bdw = D; M = 0-1-2- ngf";Wenig;Peenestrom;Peenestrom;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";24;17.3.83;Lassan;"Nacht. Lassan; El 8; mÄNNLICH 4 = 26,8G; h = 30,2; f = 37,5; m = 0 NGF";Wenig;Peenestrom;Peenestrom;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";25;17.3.83;Lassan;"Nacht. Lassan; El 9; Männlich 4 = 29,5; H = 24,6 g; F = 21 g; Bdw. Darm = 1g; M : Bw";Wenig;Peenestrom;Peenestrom;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";26;17.3.83;Lassan;"Nacht. Lassen; vt 1++; El 10; Männlich 4 = 12,9g; M = 13,2g; F = 14,5; M = 0-1-0; D - 0,02g Bdw";Wenig;Peenestrom;Peenestrom;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";27;3.5.80;Barth;"Barth (09); El; 3.5.80; 850g voll Weiblich 6; 760 g Leer; Wg -; 41,0 Ls; 48,0 Lt; M3";Wenig;Barther Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";28;03.05.80;Barth;"Barth; El; 3.5.80; 625g Leer; 695 g voll; 37,0 Ls; 43,0 Lt; Par.-; Männlich 2; Wg 3g; M3";Wenig;Barther Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";29;13.10.83;Stahlbrode;"El N1; Lt 66; 13.10.83; Ls 58; Stahlbrode; 2250 W; 1965 W; Weiblich W Ge x Reife; 93,8 Gonaden; H 33,6 Leber; M 0 Magensaft; F 37,0 Fett; Sc3; vt 3a; Op. 4 +; N = 1=18";Wenig;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";30;13.10.83;Stahlbrode;"El N2; 65,5; 56,5; 2260; 1920; Bm; 82,5; H 32,6; M 0; F 50; 13.10.83; 5+-6+; Sc 6+-7+; vt 5*+6*; op. 6+";Mittel;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";31;13.10.83;Stahlbrode;"El N3; 59; 51; 1340; 1195; Bm; 34,1; H 11,8; M 0; F 11.0; 13.10.83; Sc 4+; op. 4+; vt 4-5 +";Wenig;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";32;13.10.83;Stahlbrode;"El N 4; 65; 57; 1960; 1730; Männlich m; 52,7; H 16,3; M 0; F 33.0; 13.10.83; Sc - 5 6+; op. 6; vt; 5+";Wenig;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";33;13.10.83;Stahlbrode;"El N5; 64; 55; 1590; 1360; Weiblich m; 46.5; H 14,8; M 3; F 13.0; 13.10.83; Sc 4+; op. 5 (4); vt 4+";Wenig;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";34;13.10.83;Stahlbrode;"El N6; 60; 51,5; 1470; 1280; Männlich m; 38,6; H 15,3; M 0; F 17,0; 13.10. 83; Sc 5+; op. 5+; vt 7+/ 6+";Mittel;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";35;13.10.83;Stahlbrode;"El 13 V D  3; 51,4; 44; 870; 800; Weiblich 2; 2,5; H 7,1; M 2; F 2,5; N7; Sc 4+; op. 4+; vt 4+-5+";Wenig;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";36;13.10.83;Stahlbrode;"El N 8; 55: 47: 1090: 980: Männlich 3: 30,0; H 7,4: M 0; G 11,0; 0,3 +; vt 3+";Wenig;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";37;13.10.83;Stahlbrode;"El N9; 63; 55; 1600; 1440; Weiblich 3; 48,2; H 23,3; M0; F 17; Sc; op. 3; vt 3";Wenig;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";38;13.10.83;Stahlbrode;"El N10; 52; 45; 950; 859; Männlich 3: 32,3; H 7,4; M 0; F 12,9; vt 4; op. 4-3";Wenig;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";39;13.10.83;Stahlbrode;"El N11; 63; 54; 1600; 1430; Weiblich 3; 51,0; H 22,2; M 0; F 8,0; Berspul; vt 5+; op. 4+";Mittel;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";40;13.10.83;Stahlbrode;"El 12; 56; 48; 1250; 1125; Männlich 3; 23,8; H 13,1; M 1; F 21; op. 4+; vt 4+";Mittel;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";41;13.10.83;Stahlbrode;"EL n13; 72; 63; 2380; 2105; Weiblich 3; 84,2; H 33,2; M 0; F 27; op. 5+; vt 5+";Viel;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";42;13.10.83;Stahlbrode;"El N 14; 64; 56; 1840; 1630; Weiblich 3; 59; H 20,9; M 1; F 220; op. 4+; vt 4+";Mittel;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";43;13.10.83;Stahlbrode;"El N 15; 58; 50; 1370; 1170; Männlich 3; 47,7; H 10; M 0; F 20; vt 4+; op. 4 +";Wenig;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";44;13.10.83;Stahlbrode;"El N16; 53,5; 46; 1040; 985; Männlich 3; 23,4; H 7,8; M 0; F 7.0; op. 4+; vt 4+";Mittel;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";45;13.10.83;Stahlbrode;"El N17; 62; 53,5; 1550; 1360; Männlich 3; 39,0; H 16,8; M 0; F 21,0; 5+ vt; 6+ op.";Mittel;Strelasund;Greifswalder Bodden;
3;"1980; 1981; 1982; 1983";3;"Stahlbrode 13.10.83 18; Lanah März 83 9; Ribnitz 22.10.80 16; mit Daten";46;13.10.83;Stahlbrode;"El Stahlbrode N18; 64; 55,5; 1880; 1680; Männlich 3; 43,0; ; H 26,2; M 1; F 32; vt 3+; op. (4)-3+";Wenig;Strelasund;Greifswalder Bodden;
;;;;;;;;;;;
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";1;11.03.86;Wittow;"Link 17; Hecht/ El; 58 kg 1; 32 kg 2; 11.03.86";Leer;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";2;11.3.86;Wittow;"94; 11.03; 1";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";3;11.03.86;Wittow;"85; 11.03; 1";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";4;11.3.86;Wittow;"107; 11.03; 1";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";5;11.03.86;Wittow;"98; 11.03; 1";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";6;11.3.86;Wittow;"97; 11.03; 1";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";7;11.03.86;Wittow;"89; 11.03; 1";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";8;11.3.86;Wittow;"88; 11.03; 1";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";9;11.03.86;Wittow;"112; 11.03; 1";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";10;11.3.86;Wittow;"108; 11.03;1";Mittel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";11;11.03.86;Wittow;"88; 11.03; 1";Mittel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";12;11.3.86;Wittow;"El 75; 86; 11.03; 2";Wenig;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";13;11.03.86;Wittow;"76; 11.03; 2";Wenig;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";14;11.3.86;Wittow;"67; 11.03; 2";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";15;11.03.86;Wittow;"75; 11.03; 2";Mittel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";16;11.3.86;Wittow;"75; 11.03; 2";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";17;11.03.86;Wittow;"67; 11.03; 2";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";18;11.3.86;Wittow;"82; 11.03; 2";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";19;11.03.86;Wittow;"72; 11.03; 2";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";20;11.3.86;Wittow;"70; 11.03; 2";Mittel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";21;11.03.86;Wittow;"74; 11.03; 2";Mittel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";22;11.3.86;Wittow;"70; 11.03; 2";Mittel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";23;11.03.86;Wittow;"69; 11.03; 2";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";24;11.3.86;Wittow;"73; 11.03; 2";Viel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";25;11.03.86;Wittow;"73; 11.03; 2";Mittel;Unbestimmt;Rügen;wahrscheinlich mesohalin
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";26;3.3.86;Wittow;"Link 17; 1; El 117; 03.03.86";Viel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";27;03.03.86;Wittow;"2; 72; 03.03.86";Mittel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";28;3.3.86;Wittow;"2; 76; 03.03.86";Viel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";29;03.03.86;Wittow;"2; 71; 03.03.86";Mittel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";30;3.3.86;Wittow;"2; 83; 03.03.86";Viel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";31;03.03.86;Wittow;"2; 74; 03.03.86";Mittel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";32;3.3.86;Wittow;"2; 80; 03.03.86";Mittel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";33;03.03.86;Wittow;"2; 75; 03.03.86";Viel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";34;3.3.86;Wittow;"2; 76; 03.03";Mittel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";35;03.03.86;Wittow;"2; 77; 03.03.86";Mittel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";36;3.3.86;Wittow;"2; F; 87; 03.03.86";Viel;Breezer Bodden;Nordrügensche Bodden;mesohaline
4;1986;1;"Februar/ März 1986; n = 25 + 23 + 45 + 56 + 70 = 219; Hecht 1 n. 2; Lt cm; 3.3.86 Wittow; Rest n Rügen 4";37;03.03.86;Wittow;"2; 91; 03.03";Mittel;Breezer Bodden;Nordrügensche Bodden;mesohaline
